"","X","White","Black","WhiteElo"
"139",138,"CatKingofCharleston","marius_gerum",1606
"140",139,"dragoviron","Shapuchi23",1369
"141",140,"prc42","xmikuu",1139
"142",141,"dmack","OMW2FYQ",1857
"143",142,"Biygunbndegmolcamapi","Hold_Defense_27",1689
"144",143,"GuntherL","Nightmare777791",1147
"145",144,"AIO-57","berrakov12",1940
"146",145,"Gumruyan","tysundo",1967
"147",146,"waleed1986","jgmmarentek",2193
"148",147,"fastone_2020","mustfahusua",2150
"149",148,"nicolasabdala","sebastian_teclalux",1576
"150",149,"iamentropybro","Reza2850",2174
"151",150,"birinhajr","rerererarara",2073
"152",151,"Roseberline","K-SLEN",1914
"153",152,"vibesonvibess","Royaluba2905",2178
"154",153,"Antonlicey1","Efrain_Monterrosas",1734
"155",154,"Sybron","force69",1683
"156",155,"Trompicon","LostCookie",2012
"157",156,"Arthur1948","DRodchess",1718
"158",157,"doublemind","baltos_zavlianes",1642
"159",158,"K01100111","veysia",1416
"160",159,"Avanti1914","ElyShuri",2375
"161",160,"Cragga","Ozgurds",1627
"162",161,"Bigboss76","dejilee",1457
"163",162,"LivinyaLivisarani","cheebs",1097
"164",163,"fabioferasa","ar-jam",1859
"165",164,"dentist33","OjvindLoveby",1284
"166",165,"SneakyCONSTRICTOR","Fauxpawn",2032
"167",166,"mlaue","ilrvm",2019
"168",167,"LuvOuuMuchhhh0309","wjthiru",1588
"169",168,"luckyb34","theriseandfall",2010
"170",169,"Sam_marinella","kianosh12",1927
"171",170,"maia9","dwbcampbell",1670
"172",171,"taper1","madorna75",1876
"173",172,"schnecken_bot","sargon-1ply",1170
"174",173,"molig27759","SuperManPerseo",1677
"175",174,"RasulDarwisy","toolarge4life",1066
"176",175,"lionael","jbautista3030",1629
"177",176,"kutrang15554","sinx001",1320
"178",177,"bitolski","Ronimulyana",2019
"179",178,"farzin_nmn","MaciejK87",1326
"180",179,"morgana234","rorani",975
"181",180,"MvTrojanz","nikki_st",1153
"182",181,"zorrovaz","bishob69",2052
"183",182,"Cristian05Pro","PuppetKing23",1821
"184",183,"chesma9","chessbaj",1476
"185",184,"Prinex","oguzhan_19",1509
"186",185,"Yekiro","barbaramat",970
"187",186,"PourEts1","David_Perez_Veliz",1477
"188",187,"egosys","Haithamelsokary",1903
"189",188,"sanchezd","zibi68",1485
"190",189,"Zuhar77","moises_m_m",1275
"191",190,"bandit71","Borjita123_1",782
"192",191,"iMacJak","FilhodeAlly",1534
"193",192,"Aise10chess","machixxx",1876
"194",193,"shammasbk","Arkadian",1608
"195",194,"ijkhurana","ANadahalli",1768
"196",195,"chinkeexd","Gart117",1422
"197",196,"AdamNotEve","Melquisedet89",2221
"198",197,"Moonchips","SeanH7532",1625
"199",198,"Kanarinac94","Ibrabouss",2045
"200",199,"Umusbhi","Programma",2131
"201",200,"scttbdrck","DarkHolee",1040
"202",201,"AtlasTD","mawadboro",1591
"203",202,"akentokan","esmeraldasyahir2003",2412
"204",203,"yog-sothot","perceval94",2247
"205",204,"nunc_75","DSchlachter",1710
"206",205,"wheato96","Willy00890",1910
"207",206,"Lilpiri","namssso",1301
"208",207,"Jong17","Pferraiol",1382
"209",208,"Alexander98chess","Prommbeer",932
"210",209,"ManChessTerrible","HeronFA",1478
"211",210,"johan3333","filimiyeme",1659
"212",211,"nnoorrllddeenn","StefanD4",2039
"213",212,"FujiiKaze","Alpinanc",1961
"214",213,"Hosein_gh_kh","Debastad",1914
"215",214,"Capasha","qosai500",1536
"216",215,"CHESS-STING","pavery",1697
"217",216,"Amjad2011","Prof_Osama",2059
"218",217,"AinseilGato","Bato_Parshinov2000",1945
"219",218,"miperri","Delcastillogil",1973
"220",219,"dago2018","VelvetUnderground",2141
"221",220,"Salomonxxi","cesarnava",1964
"222",221,"agedwhitecheddar","Jilz",2121
"223",222,"Eleorema","PhilipJayFry",2284
"224",223,"ComeToBaba1","KhnkEvgnViktr",2111
"225",224,"Justaknight","rakipdede1",1947
"226",225,"tukaka246","falejos",2037
"227",226,"kvd2506","Denny2023",2002
"228",227,"Sudelede","cebu_prince",1920
"229",228,"IP_Bruhachev_1961","Azizech",1844
"230",229,"Wmiarevalo","skanking",1894
"231",230,"ODINEY","garni1",1814
"232",231,"ArcaD","Geraldochess32",1694
"233",232,"Peon_de_campo","soooomuchtogrind",1736
"234",233,"fernando200605","Erwin99",1631
"235",234,"CodnichRaciny","Alanecuatro",1615
"236",235,"razov","toosoob77",1718
"237",236,"Yohenri","pcdlf",1668
"238",237,"robertrip","Nail1962",1676
"239",238,"Nyati1","AlejandroPert",1890
"240",239,"KingYodeCuba","Citadino",1702
"241",240,"Rahman155","Sanmarov",1791
"242",241,"fat-pawn","chirayureddy0710",1551
"243",242,"Traps_And_Poisons","Gaelhintojosa",1504
"244",243,"ChessPlayer6022","Sasanka_zz",1517
"245",244,"Gallo_Gordo","ThiagoCadena",1386
"246",245,"AratKilo","jefferson8m2s",1389
"247",246,"Predator2","huntiere",1979
"248",247,"VMDG113","Joachoy",1074
"249",248,"poirot0987","Onzii",1475
"250",249,"Visualife","frazzi",2122
"251",250,"anonydx","Zuckerbombe",1895
"252",251,"hunsoulo","coolspikedad",818
"253",252,"Vitamarine","kanikie",1523
"254",253,"LHibiscus2","batdu",1442
"255",254,"Guinness1","Adamharro",1714
"256",255,"checmass","SirTerey",1692
"257",256,"Cambrola","marwan2278",2078
"258",257,"mko123","M_elhrbawy84",1822
"259",258,"fabricio64","sommerrhino",1217
"260",259,"DonAgaleo","ElJuanstyles25",1674
"261",260,"FLINOIS","gloopyglup",832
"262",261,"saadne75","kaymoney12345",1819
"263",262,"spasskanot","FernandoAcevedo",2201
"264",263,"DudeImGui-SaoRosendo","bangvang",2229
"265",264,"Maulin18","tatuazyk",1067
"266",265,"Numan_1v9","MariaSpich",1434
"267",266,"Muchi16","GilbertBBoiserJr",1936
"268",267,"graemeharrison1978","keremgur007",1500
"269",268,"Lucintheblack","bilmiyor-1",1270
"270",269,"Vahai","garzo82",1208
"271",270,"tahsinnpasha","Achillo",1830
"272",271,"willi2002","starrybromine",1821
"273",272,"LePhlaarb","warden23",1466
"274",273,"jotajota1280","Eskamoter",1547
"275",274,"Sarapulov","gusferna58",1348
"276",275,"magnusss_2000","goxu_a",2148
"277",276,"Aetbx","Carlos_Galecio1999",1536
"278",277,"Zigzachu","ZgemboAdislic",2052
"279",278,"slopps77","D_enver",1409
"280",279,"Cypis1987","kinalam",1099
"281",280,"Nekooooo","Altherra",1172
"282",281,"Ishan_2002","matbb",1308
"283",282,"Rogerio2104","dsallman77",1259
"284",283,"Alvarov21","dwapir",1560
"285",284,"Nacarayen","AzureEllcrys",1275
"286",285,"DonVakura","Phobos7",1128
"287",286,"ametsamanci","KendallPiedra262",993
"288",287,"Sudgeruk","Amar_Svobodniy123",1783
"289",288,"BiggieLopez","Mareudiaz",1304
"290",289,"Lil_PriP","Le_swakks",1749
"291",290,"Nateball","Muthukumar79",1616
"292",291,"RNO123","carlosanton58",1946
"293",292,"Arshdua","nunober",1161
"294",293,"pora321","AMS2021",1540
"295",294,"kalin72","skeelove",1560
"296",295,"Splattis","fgaguilar",2159
"297",296,"neverwearpants","DylanMshush",794
"298",297,"Ahmad2029","BloqDes",1781
"299",298,"Objectivist1","Edenilson0401",1445
"300",299,"prodromou87","EtK5",1405
"301",300,"quirkles","Hect_or",1626
"302",301,"Lorena2706","Blazinmate",1497
"303",302,"beforeafter1","yellowdragoon",2617
"304",303,"mrchickenfool","SSayayin",1092
"305",304,"MyKingDumb4aHorse","cafiojoe",1384
"306",305,"ms80444","camoteBicho",1294
"307",306,"Zarkantos","hallithor",1648
"308",307,"Marvsg","zhohye",2036
"309",308,"Aselachamilaamila","Cacheton2020",1508
"310",309,"Omerkaragoz","ichmusskacken69",1073
"311",310,"Chnops","Daniela326",906
"312",311,"rusomania","tbchesss",1911
"313",312,"CamiloV94","truckis27",1299
"314",313,"Korolev_Oleg_77","CarlosCarneiro",2170
"315",314,"marcosjkbrazil","batxe",1561
"316",315,"LeCanadian","AnassZn",1698
"317",316,"inf_T","silaen_03",1713
"318",317,"stoikot","chavipo",1551
"319",318,"Sont4","youcef92",1719
"320",319,"king_Richie","Azoz2020",1599
"321",320,"Blackpony","Paul_Moseri",1894
"322",321,"Vimael","Princepe28",2000
"323",322,"EMMANUEL061720","neftali_mena",867
"324",323,"SuperManzana","LucaPonce",1890
"325",324,"RobertFP","Lempong",1496
"326",325,"Fussballfater","marrob",2074
"327",326,"Piyonuufakgorme","ChileanWizard",1562
"328",327,"robscat","theredemptionarc",2211
"329",328,"Blishelegacy","HuyVietNam",1754
"330",329,"don_vito_76","William_2005",2130
"331",330,"daf1N","FQknight",1598
"332",331,"Bookson","Janozona",966
"333",332,"OpenAIpassivebot","SartC",1458
"334",333,"Fool-of_a-Rook","luizeduardobg",1199
"335",334,"carakura","iigor7",1857
"336",335,"blindfoldcheese","Araujo2020",2146
"337",336,"Dzham1l","Batu-0",2162
"338",337,"mohammad_aminudin_a","jmxd09",1389
"339",338,"WyattUnknown","chessorcheckers",1666
"340",339,"potatotomato143","Libya198585",1643
"341",340,"xretas","Superjenium",2260
"342",341,"Cdominguez","mateforyou20",2025
"343",342,"linischoki","DxvidChiZ",2065
"344",343,"Carlid","Vladimir-ast",1551
"345",344,"Densinggih","anecdote14",1877
"346",345,"aliansa","Tom2260977",1791
"347",346,"Eisa-zarezadeh","NikolaDubovik",2197
"348",347,"ProfeAlf","Albertolondonoj",1875
"349",348,"valdeshir","Arcuus",1714
"350",349,"Quasii550","Un29mai",1712
"351",350,"honeylemoncayenne","chessknightsbiz",1925
"352",351,"gett-em570","matin_hallaji",1173
"353",352,"coxno","pavelno",2194
"354",353,"Ventur85","aiavci",954
"355",354,"Toromoreno","CoachShawn",2278
"356",355,"haavis","ismailugurlu",1262
"357",356,"tibi23","Xestomic",2205
"358",357,"beeron_blanders","Daryl_Jefferson",1476
"359",358,"Constelacioneta","jfi1994",1410
"360",359,"uyoloyu","Pluviophile",1808
"361",360,"CPTsopiens","stemapal",1989
"362",361,"ozkan1974","JMJWilson",1435
"363",362,"Orororu","guerrerodelajedrez",1655
"364",363,"anrede","axelg123",1260
"365",364,"Ace314","Umbuyusman19",1974
"366",365,"tomahta","thenew86",1101
"367",366,"cenkin1122","homieofthelord",1706
"368",367,"Carafafelipee","JUANJOSEVILLEGASH",1703
"369",368,"batilkatalaga","Samuray79",1993
"370",369,"t1hasan","AFOMI1",1386
"371",370,"CristianSing","aruzd",1921
"372",371,"GAZA_ZIM","Tomcsi",2141
"373",372,"Sijavush","laviateur",2444
"374",373,"deenoes","poixd2do",1568
"375",374,"ashorey","KORYO75",1223
"376",375,"Alfred108","etecua",1659
"377",376,"zombakk","bfox",1788
"378",377,"zebazakia","Taalibi",2182
"379",378,"jnoonan","EtshoEtsho",1082
"380",379,"Impactoprofundo","manao02",2221
"381",380,"Shetranj","Javierjepeja",1511
"382",381,"HenriqueMP16_IF-SR","e90black",1566
"383",382,"Samehelsayed39","ELDbaba",2299
"384",383,"Ahmedrezk90","aboalijamos",1595
"385",384,"davegdave","Lesterdgreat",1222
"386",385,"sevensamurailizard","InnateDistress",2001
"387",386,"AlfaZero2021","Rodorigofide",2367
"388",387,"adildoc3","Ymanpown_GM",1846
"389",388,"Raimundo25","Zabur",2167
"390",389,"Sword_One","Tygeeeeeer86",1644
"391",390,"TwobyTwobyTwo","ViperaBacillo",1732
"392",391,"vinzent1","philio",1881
"393",392,"KasparovSharapova","CarlosSoares",1432
"394",393,"BearBrand","tomkruz888",2114
"395",394,"xArticaChess","Kezular",1361
"396",395,"dxryll","Champignonek",1619
"397",396,"Truderinger","moftahsaleh",1661
"398",397,"Reelo","edervise",2127
"399",398,"Ara052","rakan91",1385
"400",399,"Bahrami1366","ReiQueFoje",1268
"401",400,"AnneOy","UEP_Catarman2001",1783
"402",401,"SquishyBert","kemo1233",1826
"403",402,"Andre_fonseca28","donkeychopps",1866
"404",403,"DonutsAndBeer","markhana",1326
"405",404,"LutaBoy","SovetnikOxotnik",2001
"406",405,"troyzabadani","il_sharko",2115
"407",406,"RossPoldark44","Jukaya",1845
"408",407,"Jaycyafrodita1312","ikeandas",1558
"409",408,"TorresEnSeptima","Maria-es-una-fresa",2105
"410",409,"PacificadorMB28","Rubenales",1943
"411",410,"Luis0000","arnau_mejia2",2296
"412",411,"stevethepyrate","luciferakuma",1010
"413",412,"domore","Diegochess79",2372
"414",413,"heinrich1966","Bellograndmestre",1885
"415",414,"zhepkovitalij","LeideMorphy",1698
"416",415,"CkuMurat","CrowsFeet",900
"417",416,"Naghav_a3","Christhiam",1443
"418",417,"Earth58","iChessNoob",1911
"419",418,"Sjamandulrik","ChessMoney",1344
"420",419,"Alcibia","Sajonia",1706
"421",420,"NochoGs","pab-l0",1671
"422",421,"gedimar","dewa966",1849
"423",422,"horse_bite","Smittycent",1129
"424",423,"mohammad20087","rfranc",1265
"425",424,"dylandil233","ltm1995",1571
"426",425,"USA1981","jeff_lagos77",1799
"427",426,"earlpogi2003","Solowchigo",1612
"428",427,"Rualangel","totoff",2316
"429",428,"marc03041961","oz4nbey",1051
"430",429,"Fabio-LP","sambal_pedas",1944
"431",430,"rsmoule","Hobgg",1756
"432",431,"tajir512","Yeko2022",1835
"433",432,"soup-a-man","Batyr_Dzhankezov",1745
"434",433,"BIMBA20","Star_Platinum_TW",1969
"435",434,"pawn_grabb3r","Enkhee9999",1892
"436",435,"Al3xandr","madruga123",1852
"437",436,"Ronito2020","David121289E",1903
"438",437,"Juara_Ciwaru","HuevitoRey18",1897
"439",438,"nakaji","newtuciclo",1768
"440",439,"rainzote15","leonynigo24",1878
"441",440,"Robnochi","kamelzup25",1732
"442",441,"Pickelkroete","RaidersoftheStorm",1811
"443",442,"fwc36","Mikhail_Todorov",1929
"444",443,"Cachoeira_Ba","CaylieBabe",1738
"445",444,"durell369","Mudaheasy123",1882
"446",445,"Vagon41","gblcia",1942
"447",446,"jasb5708","amadeus1962",1781
"448",447,"aguscaki","LPK25",1693
"449",448,"syrinx24","MrWaffle23",913
"450",449,"Gunsin","xj479",1696
"451",450,"tollon","Giosue77",1110
"452",451,"Teumessischer_Fuchs","BobbyFischu",1542
"453",452,"Palavecino","Katzenrosi",1342
"454",453,"Ntinos_72","PavelStolbov",1474
"455",454,"bdfn","Equalegitimo",2145
"456",455,"lermatjas","Kh_cesc",1226
"457",456,"jamal26","PermyakovP",1474
"458",457,"Devilh12","Nithyanantham",855
"459",458,"RdColtt","reginaldolima",1726
"460",459,"RickMGcxnl","engenheirochess",1596
"461",460,"EdOmar246","Champeon1987",2077
"462",461,"sfqsaterr","Hoegi",2086
"463",462,"tincho333","soyphenomm",1796
"464",463,"kungue","ERDoc-InovaHospital",2043
"465",464,"Goo_Trainer","Wittgensein",1919
"466",465,"Farodriguez","reza13681989",1925
"467",466,"mindstone34","NefedovMySurname",2195
"468",467,"Demente63","Skvo11",1946
"469",468,"Nikitin_MS","DgD66",2284
"470",469,"Pawnduster","Unrevealed_Z",1952
"471",470,"VaibhavLM10","aWarmNut",1965
"472",471,"vitaminccc","PrasadVanjale",2189
"473",472,"beliviski","nite_mate",1651
"474",473,"ItsOverNeverBegan","RobinKjaer",2284
"475",474,"cjcb02","kon_stan",2320
"476",475,"keremkrc","Nestor_Rosario",1364
"477",476,"djabellou","kil1mi",1603
"478",477,"koty_koziavki","Alexis1994",2599
"479",478,"OnlySuemm","AdriGre",2152
"480",479,"ArjaycBernardo","asrhiuesa",1901
"481",480,"Acquilar","GilLibu",1834
"482",481,"Arahek","TerraK",1546
"483",482,"Eye_inthe_Sky","akshay18",1847
"484",483,"ekg15","Akhiles",1827
"485",484,"OscarValdivia_ESIP","Vicenteviolini",1625
"486",485,"Soulreaper2","Luis_Jumbo_Granda",1277
"487",486,"d6goz","KARABEY55",1491
"488",487,"nonaldononal2","ElnurGasimbeyli",1616
"489",488,"JimHickey222","MightFail_Tal",1771
"490",489,"mateo_ej","M7modQ",1593
"491",490,"HADbrc","esia81",1736
"492",491,"vLPAWNEE","WontStop",1818
"493",492,"devkrishan260860","sidneydarepi",1925
"494",493,"Streetime","Aleksandr121258",1726
"495",494,"Andreslr313131","cualpuedo",1637
"496",495,"johncorlett","Rorro67",1208
"497",496,"moha12med","absolutegoist",1658
"498",497,"mohamad202020","Rameshwar244",2014
"499",498,"isolatedproton","GyanChandSharma",1965
"500",499,"Fer_Kauil","mihmih1",1300
"501",500,"Yorli","IHope0",2136
"502",501,"Nicolaifrost","TheFreddyGambit",1079
"503",502,"Nerdi2008","InTheGym2021",2149
"504",503,"theboyblunder76","neri_jass",1487
"505",504,"twizlok","rmboemer",1035
"506",505,"paint-95","Coolets",1485
"507",506,"Fromadrycamel","Karavaha",2146
"508",507,"slogmyth","kryspolkino",1758
"509",508,"erich1982","LuisManuelDias",1714
"510",509,"Step58","andy80",2134
"511",510,"nibiyabi","Desmo7",1319
"512",511,"efuzy","ngagary",1571
"513",512,"Sanan74","ialwayslose1234",1691
"514",513,"Gao_Le","MrZapiain",1392
"515",514,"CandySugar","lazario",1627
"516",515,"always_blunder","OtizDeAvid",1494
"517",516,"grooble","le4onel",1525
"518",517,"incerman","Manestor2",1214
"519",518,"carlos_vilchis_lover","EmmanoRuff",1004
"520",519,"jfjhffgjhfhjf","galwaydla",1445
"521",520,"casuallychess","DE-ASSHI-BARAI",2749
"522",521,"ChessNinja23","chessplayerfrmtrky",878
"523",522,"Gambit_15","ajedrez_de_mi_vida",2023
"524",523,"virility","MmirandaG",2274
"525",524,"AnimalTk","BeholdG4",1748
"526",525,"Hfy","LAAM22",1563
"527",526,"Dangarov","Noydb",1827
"528",527,"Eihab4719855","Atoysman",1319
"529",528,"ravikiranshelly","mikey826_2",1979
"530",529,"erict3","martinnyaga",1174
"531",530,"BigDaddyDom","IAmBenjii",973
"532",531,"RickyHunter","Romulo97",1880
"533",532,"April202317","fodahsi8wgw",1115
"534",533,"t347-827-9329","averbak",1012
"535",534,"Yasmarisoto","anatolij_921",2010
"536",535,"SantosBarrios","SupineMoonshine",2717
"537",536,"alanlima1","BBWill",2308
"538",537,"eugene182","Cavid_Baku",1825
"539",538,"Pause-Echecs","Viennaconcert",2256
"540",539,"eray_bavas","Xilvorn",1064
"541",540,"Queen-Bou","bubtubus",1815
"542",541,"G-nsebl-mchen","odlinovi",1887
"543",542,"m1ke1ange1o","GFBJJ7",1851
"544",543,"Khalilog2","newbie2421",1790
"545",544,"sdeko","matusss24",1048
"546",545,"Yaniyy","gizzywhizzy",1364
"547",546,"Sweet_candy_10","Jppineda",1948
"548",547,"OmerfarukARI","veysia",1444
"549",548,"SchS","JafarFromAfar",2280
"550",549,"Abelgamerxxz","Freddy_chess",1742
"551",550,"umuteldem","Ma_issa",1668
"552",551,"CALLME2020","jeekofikeja",2035
"553",552,"DesirefulDreamer","MAX2904",2286
"554",553,"BernardJude","Ndizvoh",1698
"555",554,"EJRF_07","b3d3g3",2373
"556",555,"aqeel","JasperL",1239
"557",556,"faouf","gsgsth",1514
"558",557,"Bosschess0","nohompoo",1613
"559",558,"Yassinecp","IzumiTzy",1816
"560",559,"talisman05","SegonBermuda",1756
"561",560,"martin73_01","DavsR",1054
"562",561,"Duro_de_Matar","Raihimal",2071
"563",562,"ddorian","UmerLouisStevenson",1133
"564",563,"ADevil1982","Chandrovik",1500
"565",564,"Balentine","ZenModex",1256
"566",565,"badranyverdcolona","Sinistro_MS",1986
"567",566,"exp13","ycdonut",1330
"568",567,"raining_rooks","Nuri4774",1205
"569",568,"Funtomass","vicktoortumbao",1339
"570",569,"KodaPhoenixis","PrinceMyshkin24",1388
"571",570,"Oleggordei4uk","Larry_baba1",1605
"572",571,"jdhy","xalier312",1764
"573",572,"ds-2020","ErtonBadjuka",1968
"574",573,"Samuel122","Wetbomw",1636
"575",574,"Flo_30","bigtaste",1082
"576",575,"and_kul","p3dx0",895
"577",576,"WyattUnknown","Alexander-Gavilan",1671
"578",577,"RandySofanor","Fuleiro83",2160
"579",578,"julianpaulq21","Chess_Lunatic",2357
"580",579,"MariamJ","Alex8ar",1810
"581",580,"BigBoss_AMJ","Memelanto",1426
"582",581,"Slow_Owl","chesssprodigy",2445
"583",582,"julioc2012","ilvikingo",1282
"584",583,"Arnaud-Chess-Master","mr_hastalavista",1427
"585",584,"Longinus","Zeezagenie",1900
"586",585,"mabdollahnezhad","Adlizein11",1008
"587",586,"GTAkers","SnookSlayer",1085
"588",587,"Cpku","nolavi77",1331
"589",588,"Hangalves","hatcxx",990
"590",589,"asdshq","paturebakid",2084
"591",590,"McZumbe","Hahhahahhaha",1176
"592",591,"mohamedlovell","capisimo",1795
"593",592,"Little_Hater","blunderrama",922
"594",593,"Kana_kanatych","PaloAlto",1835
"595",594,"Prince-Albert","Russian_Assassin",1402
"596",595,"BlunderBoy101","kmacfarlan",1570
"597",596,"MohammedAbdElmonem","TMV4409",1542
"598",597,"BaxterCat07","emda41",1133
"599",598,"Orlandoernesto","Capttax",1989
"600",599,"chesstpb","kobijer7",1461
"601",600,"Hairyknight","backwards78",1638
"602",601,"Krathos969","Andrejchik1988",1608
"603",602,"A-Haimoura","Suhagrajesh",1416
"604",603,"Oxyjon","Astekz",1216
"605",604,"Megzsc4","rechterhoden",1758
"606",605,"Ozziejoe","JorW123",1919
"607",606,"DaniilGanichev","frei-bauer",990
"608",607,"pippo2pezzi","afshin18",1435
